,IDProv,NombreProv,EstadoProv
28,ad387da70ca64befbc9ee91da1935136,Azuay,Inactivo
29,fa1edeadb5c643c185e69afedc36f659,Cañar,Activo
30,64759bf9eae04215ab8e9a364a6fd17d,Cañar,Inactivo
31,94c778dd77854f1c97bc739ee6e1ca16,Pichincha,Activo
32,0814a49766ac4daabd65a2ba58202c80,Bolivar,Activo
33,64675f64e28f4995b744276fab794504,Cañar,Activo
34,a7e23eff44294c47af2254bb8590b005,Chimborazo,Inactivo
35,5fff10ed8a5b478380b4e6037046c8d7,Bolivar,Activo
36,c7de76686490476fb97ff3348b6d393c,Galapagos,Activo
37,b94b7c26bbe4415dad074e681b9a5de0,Manabi,Activo
38,3ca0ca1933964592adcc29b2dc8578c1,Carchi,Inactivo
39,ea914c02bd98485eb2710534082cc4a4,Loja,Activo
40,31c43cb3461b44af955877fca3202072,Loja,Activo
41,12576ae7e0ad41a0bb488673261413fa,Cañar,Activo
42,9e638cc795f54c0db48c16feb0a978e4,Chimborazo,Inactivo
43,cb44c965ef0641acbcd9fa09cd051908,Cañar,Inactivo
44,8d386d615512416b98fd9307018e5311,Loja,Activo
45,d6e00d5a9e9148f3b5b0f1e4d6d31da6,Esmeraldas,Activo
46,b004611d0ea341e7865d1e6b0f4660ef,Cañar,Activo
47,2441875db0784ee7a066bc634504fb74,Manabi,Activo
48,c1ee579a334b4f32acc00ad12c21e4ce,Guayas,Activo
49,9c56d3c86b9949d2946ceffb1b6d3c4b,Azuay,Inactivo
50,8b2ddf2937db467e85cad2b3cf34c4d7,Bolivar,Activo
51,6e5dd4f2c48246d6b5fe8fbd5d4e6ed2,Cañar,Inactivo
52,84783c551ec646e299d8817e48f360df,Loja,Activo
53,569712441657478594e647f04c6db31e,Manabi,Inactivo
54,445a811b0d3247538624ba98d8a029cd,Manabi,Activo
55,de13b934000f428fbaf93f2ac84baff2,Pichincha,Inactivo
56,3dde720876a247bc9f87559e5dbc8bf3,Bolivar,Inactivo
57,f648fb39202443c693017a0693a3bec4,Carchi,Activo
58,1b352b59cf024434ba4dab3db0723184,Manabi,Activo
59,3aedff2248d34265acb7f33dadb47ee1,Pichincha,Activo
60,9ac62e65ec2b4b47a07f6f3a8cfa6078,Guayas,Activo
61,c4106ca541704b7c91e3aa35a99834de,Galapagos,Activo
62,74d24694b9a5418082bb8f7ccb5d4db4,Cañar,Inactivo
63,ca8210b22319440ca55ce289ecb5b298,Carchi,Inactivo
64,59ed52cdf3534481946d08e85e1a1e57,Esmeraldas,Activo
65,5ed0f1fefdc541f389570c25d6fdd22e,Carchi,Activo
66,a1849c9ff27a43e9920575036eb711d2,Pichincha,Activo
67,ac5490cd732c4ff0aa96021daa2980ad,Loja,Activo
68,a2212496b6f34e338e92a7fc7b54e6ff,Azuay,Inactivo
69,0423cf72337b4c57b628276cd5af656d,Cañar,Inactivo
70,5b33ed108d054b3a8929c652d395a977,Cañar,Inactivo
71,118aaa70938b4c81841ee497498d4f37,Cotopaxi,Inactivo
72,c3b19b9e7a9741fea9bdba8073c28a4d,Azuay,Inactivo
73,cb9b5a0ae7474457866335303f5ce946,Pichincha,Activo
74,c39e6a0a10e74d75b37877a85e6216e7,Carchi,Inactivo
75,7005cdb098f34289b632d45ba0b1960d,Pichincha,Inactivo
76,b37630d2d7af40b0916ba0705302c564,Cotopaxi,Activo
77,cca632920dd54a35a78226224dd6465b,Bolivar,Inactivo
78,44cd413c0d7d47009b38c2c5d9c22290,Galapagos,Inactivo
79,caec8ee160e14308b500a3e3f57a241e,Bolivar,Inactivo
80,1f96bbec81da45509f76615c5a626310,Cotopaxi,Activo
81,f155dc237d7c4681bf25957d53ec0119,Cañar,Activo
82,0cf0806e577a46b480ba56eca31dae97,Galapagos,Inactivo
83,ece9af4a13ca421e85043cc9cf4f1858,Guayas,Activo
84,430cf212aec941a0961906bc388a161d,Esmeraldas,Inactivo
85,a9154bda40d64bbda1093d98f34d476f,Cañar,Inactivo
86,b5f27b5eae914ae6ac1ea1c30223a446,Pichincha,Activo
87,194a4be9a25e41c5a116bd7fdd809056,Bolivar,Activo
88,12f07b46f86b44b6bdc2c614f35c983e,Chimborazo,Activo
89,e926440e86a3478aae5c685d7cca4066,Bolivar,Inactivo
90,6f261c1bafeb4393a7b7e01ca225d7e6,Carchi,Activo
91,a121374bc3804854aba96db7875bb934,Cañar,Activo
92,dbbff1b2c28449218e23e743aab2efba,Manabi,Inactivo
93,ee08174e5d19400aa72056b44ab90088,Esmeraldas,Inactivo
94,1b948f49e23e46608c7dbf780517ba51,Cañar,Inactivo
95,d8bb021c14004366a5bad45dbd711d26,Chimborazo,Inactivo
96,934c1701af3e40c28e8bf4ac3cf7924b,Azuay,Inactivo
97,379d75fa49344d81bc35c5cc17a981b8,Pichincha,Inactivo
98,74ce24ac39134e15934c3c3eb3e245b1,Pichincha,Activo
99,f528759bb254442187a28f066c1f024d,Cañar,Inactivo
100,d0f70988eac648f4b06d97579312b3ed,Carchi,Inactivo
101,956a7305d30e42b4a5a39125879cd3f1,Guayas,Inactivo
102,ca9a94e530d3404491e359284e11ed4e,Cañar,Inactivo
103,41dcd30161e2489aa1197dd2b107a07e,Manabi,Inactivo
104,9b6ae08d57e04a02ad438e0a8210f4b6,Galapagos,Inactivo
105,0752c155b80b4c6ca838e69896961793,Azuay,Inactivo
106,22a4b083246a4ac8ab21701ba5e85141,Loja,Activo
107,811cf5c7dbb54ead9f2f46e042a496a8,Azuay,Activo
108,439b80a327524ee9847a8c6038735a66,Azuay,Activo
109,d2e00cb123d34f4d9131653bd7e6a325,Azuay,Inactivo
110,02f1f14260b54973b66cf1b2bc590fba,Carchi,Activo
111,7e4efe9aeab54fcba5a44d9c55086168,Chimborazo,Activo
112,3b951dfb69804ead81253d3d900f5598,Carchi,Inactivo
113,c353dfeb07654e4582671edbd97da347,Esmeraldas,Activo
114,907042bcec734cc39da864a92460d7ca,Loja,Inactivo
115,6be82920357745e8b82c483673c515bf,Cotopaxi,Activo
116,f53c383563f24d49a431d1a5a5bae1be,Azuay,Inactivo
117,9fb1401a6c98431ca102c89f9a0af109,Esmeraldas,Inactivo
118,a48c2c211edd47aaa3dda7b354e0025a,Chimborazo,Activo
119,96f363f13d084da8a7862f6017f44e00,Esmeraldas,Activo
120,eec9ea78c6cb4e169345b29fbb78242c,Cotopaxi,Activo
121,1e4f6f65cbc34ee3bc65b2e1634995e2,Azuay,Inactivo
122,012fea47e50c4f058ec58d5a724996ff,Guayas,Inactivo
123,580cf148a26c41aabd78ccdc4775472a,Azuay,Activo
124,ce6e54d9ecbb40bc8747bbfa1f175f3e,Loja,Inactivo
125,d8cdcc69fa014465a842e3e5c85bb26b,Chimborazo,Inactivo
126,91f61862657e4347be14a85edbddf578,Pichincha,Inactivo
127,0b2c73af79a04a47a5c703d71eff4079,Manabi,Inactivo
128,1d792e323caa477b9f19afa4452ed776,Cotopaxi,Inactivo
129,4f5e4fb6ffac43549ec44c50b38a74e4,Azuay,Inactivo
130,380b830d5f544fceaa983e8aab1f901e,Cañar,Activo
131,aef566d09bdc4ff2abff41a5e5b2d8b1,Guayas,Activo
132,c0eed79ea5a54c3da3dcc426bcde2be9,Bolivar,Inactivo
133,c5f55a6ad8cd4afba4134feae3dd920c,Esmeraldas,Inactivo
134,de4b9d39b5fa4e388344ce47abdf9348,Carchi,Activo
135,5599aad203874a8bbbc875a025773618,Loja,Inactivo
136,9021aec4f68f4959b394622caf385d48,Esmeraldas,Activo
137,dc8e37799ffe4e17aead9dc9ade5730b,Cotopaxi,Inactivo
138,b6a8b3f3fa684ab98c4ddd1d02f5654d,Bolivar,Inactivo
139,6baa41a2422a45d18ed5dd7851f11e33,Bolivar,Activo
140,1b1b4dad3c484c6ab34956b626923a06,Cañar,Inactivo
141,0fac762f90734eac981c1e1fac9b585a,Chimborazo,Inactivo
142,11d72150243c4f6b9476a52b1837f6e4,Loja,Inactivo
143,59576abcacd3492182e742960db0022d,Loja,Activo
144,e1b24c5d7e244f009593721daca6f9ed,Guayas,Inactivo
145,6ded01efa0764d87a3f54885d5d783bc,Pichincha,Activo
146,505ca6ae8db14bfd92906ea8bd4eecf9,Carchi,Inactivo
147,7e869e0fac5740d4ba3123b9d7d901cf,Pichincha,Inactivo
148,a19b54825cd14fec9e7064095a23cd4e,Chimborazo,Activo
149,f9279c37c9454e3f83b270b0ca09bcdb,Cotopaxi,Inactivo
150,caacefb0feda4bf1b700223d044fbaf9,Loja,Activo
151,9955564edec4432f8e5088937b067b47,Esmeraldas,Inactivo
152,37bf0aff19504b0e994afc27ffe65dc5,Guayas,Activo
153,48c06bb034a248f5bf922bfb581e5dec,Bolivar,Inactivo
154,6f6fdf2c4bd54590969b5b2cbec64821,Galapagos,Activo
155,0e7ff10576594d009090ed28bd59af5e,Bolivar,Activo
156,10bf53908924446a882e9e5cf751c732,Galapagos,Inactivo
157,0948c3cd42a342358e3d7b2a47057d4a,Cotopaxi,Inactivo
158,650a2c966980487f9cdcebca60b5564c,Azuay,Inactivo
159,3de9114061f94b0b8992e656af083bbf,Galapagos,Inactivo
160,4db4fb1cdc6f45f396b578cba0ac2033,Bolivar,Activo
161,c5d33866423e4d14850e80e226fbf045,Loja,Activo
162,95900f4193cd4c89b8bcaa3f51e0879d,Chimborazo,Activo
163,5d70d086c7e245d3b46d54ae94ff5157,Esmeraldas,Activo
164,8b1fe64a6d7c41db98daa708d800dee9,Carchi,Inactivo
165,e1b4fe03a5ee43a6a421404548179edc,Bolivar,Inactivo
166,cf8d1a8119d54343abf652f9f39999a6,Esmeraldas,Inactivo
167,d820f48cfe1c49d19c6c8f87dce639b2,Cañar,Activo
168,90891f4613bd4c02bde539fef8ddf95d,Loja,Activo
169,6595d525915442ffacef2a21383db0a2,Pichincha,Inactivo
170,e56cb7dbe07c45faa283ecb9b0b731f0,Bolivar,Inactivo
171,50809b55b9f24bfc996acebf73f53206,Guayas,Inactivo
172,aa2b5f61d62d43f689717d6357530b23,Cañar,Activo
173,880de084598745dd85d1f892dd0fd57a,Guayas,Inactivo
174,15b350e273634bc7916fbfb19d79a5ab,Cañar,Inactivo
175,9906ee9039a84617a996512d207a8d23,Cotopaxi,Activo
176,b61c6842d16b43fe89c67fff742abe95,Manabi,Inactivo
177,0e10ff826fd240c0b8ecdfaddc0481ef,Galapagos,Inactivo
178,876ec20670cf4a6f9dfe19c515de063d,Loja,Inactivo
179,ff5d23dc675a467a910c08e535286a1d,Manabi,Activo
180,e92c3fbf048e4543845f1bbccf0f0ee9,Loja,Inactivo
181,82eaa92e918d4a23ae80188f0df77af6,Guayas,Activo
182,67f050fff4d84cb4b2259afd326ed619,Chimborazo,Inactivo
183,aa67e6c51b344d979831d848f0d032e5,Pichincha,Inactivo
184,d4a7ab06f9b34535be5bb3f50107a8c9,Cañar,Activo
185,ebbed2c8a205434b953b2122fb64eeec,Esmeraldas,Activo
186,82b0b9f1d8d84576be6f4297b931e693,Esmeraldas,Inactivo
187,0f7195ab9f994e24987f6af3a10682a9,Galapagos,Inactivo
188,d156a4f05d4f45449060e1b782cd0255,Manabi,Inactivo
189,4fec1676d98e4dfe9b54a22fbba7f8b5,Manabi,Activo
190,3c8dc4a20db4423f8b3e7497f5df273d,Pichincha,Activo
191,df5e917a9ae14952a2a08a4503efdd7f,Cañar,Activo
192,a7860082f8084834a9ae2e5684c1fea1,Guayas,Inactivo
193,3cd16ce5e1504e4a8b1677a417ce4867,Cañar,Inactivo
194,99c8cc900b6d434b953001f59edd7a5b,Cotopaxi,Inactivo
195,08368156b621464ea36073211bb48118,Galapagos,Inactivo
196,804570280671413b8dfefda6c54b9ebd,Cañar,Activo
197,e0afc96a7bb940ab9149e5fcd8d159de,Manabi,Activo
198,b97f4ba2f5624e7cb67643a66a344f34,Cañar,Activo
199,b4bdde3547164e9babbff36a5f49d339,Azuay,Inactivo
200,5366433aa35f48b192eac37ff5a3e1dc,Azuay,Inactivo
201,94abb300224b4d50826e43fc51f36df9,Azuay,Activo
202,182859b1fb174a049073f142cda76a8e,Loja,Inactivo
203,c6b267d3905441a2a28da4a0360e3b8c,Manabi,Inactivo
204,8f672c4b31904bd8b388a1fad62b7f8f,Bolivar,Activo
205,3345bab8ceb94632aeff7c076d9c0241,Azuay,Activo
206,3e0916881ac84b26985f3cd3fff1860e,Galapagos,Activo
207,a73699f5b01a4f019e4cd6ddf84bbb9d,Pichincha,Activo
208,222fdbfa01c749a0bf66c3ceaf4b3b63,Carchi,Activo
209,f653e8d48e58418088fe7b3c789e87c6,Galapagos,Activo
210,7a95d064df8b4b9d85516c82910493b3,Esmeraldas,Inactivo
211,ba12fcc4d18d498dbf951d06c6128038,Pichincha,Inactivo
212,7b9301d6afa2462c8d8384122a18e137,Chimborazo,Activo
213,e7b1905f9d054fd78b19fccb3f3b736d,Cotopaxi,Activo
214,0cede01393aa4659b24b1fe333e562e0,Galapagos,Inactivo
215,5e2068228fc543449bbb6597dd27172d,Carchi,Activo
216,a23ce60f50374e3eaa313c92a2ccbc53,Loja,Inactivo
217,3eb40492ebe24c97bf3dd44e5aeed708,Esmeraldas,Inactivo
218,25da6473ed6b40e787388f0b2bb28469,Pichincha,Inactivo
219,6aa10b11dd20434584e0e107f80e2210,Manabi,Inactivo
220,6433d3544764459db8c596af970db064,Bolivar,Inactivo
221,18a2c15f25a74985b279378c241063bc,Loja,Inactivo
222,aab7ef3f40284a4687acbc3bdb90da92,Carchi,Inactivo
223,15a15a218cf749709b88954bea80a2ca,Cañar,Inactivo
224,684a94eb905943ca8b244877eabd4627,Esmeraldas,Inactivo
225,085ca00d48d84b02b417748c46121de6,Bolivar,Activo
226,ecd9408881b6471a9b13a754df055552,Pichincha,Inactivo
227,b2f3a5fa567943c392de65cd36e7264b,Cotopaxi,Inactivo
228,de5e67237f4f44ada85532a22bde3ebb,Cañar,Inactivo
229,e26aabe04e674571874f466166abab6c,Bolivar,Inactivo
230,1ed94d9cfc0547a1a61f773c2c764138,Carchi,Inactivo
231,dc8fe63b5b9c4c00842875b3b746a6a8,Carchi,Inactivo
232,824abe104c754a6581ddbe43062eb066,Bolivar,Inactivo
233,a51abb086e0a4a209ff97cf3904b8876,Cañar,Activo
234,83641fc71de6496d8a98ed5060f4e20a,Chimborazo,Activo
235,5ba48b0f9bb34ae9acd6f33b9084e7ea,Esmeraldas,Activo
236,ec6a44757f074f1d93f3dc81c4fbbf75,Cotopaxi,Activo
237,f0f42e5580434a81ab0b07fb28a79c02,Pichincha,Inactivo
238,e76f87d6deaf42ee890372c741fb8d39,Cañar,Inactivo
239,c416b711a61b4ff99ed0ac1dd2f26c85,Esmeraldas,Inactivo
240,f8bf4da7cf734101b4a4e8da9d176801,Loja,Activo
241,4d83352fc6ee4fb59006ec23b8746284,Galapagos,Activo
242,91a99501f2ff488eb8e9d9ca1729e4d6,Bolivar,Inactivo
243,e2a9af9f6dbf4391a29bd270845afb21,Bolivar,Activo
244,91a299f345364b18a4515f9202c531dd,Bolivar,Activo
245,047d730d52194f3494cf982e4ee2f6a4,Bolivar,Inactivo
246,9d9c7bd247a345dba1092b4375ac2859,Azuay,Activo
247,82d91c7a8c2e4cc6aa0c82d9e5fbcd34,Esmeraldas,Inactivo
248,c14a912540cc42fc80e5d9e320387969,Esmeraldas,Activo
249,c541b6f07d4649939c99036a44ae9c71,Cotopaxi,Inactivo
250,cd5de378cd7d4ec9b3958d51ed9a801b,Cotopaxi,Activo
251,0c37ce6fb19747ff9e549610e3674eae,Carchi,Activo
252,688c771cb061404aa2c6db333d13c91f,Cotopaxi,Activo
253,edf84ce8dd6947ae9ab7e0d2b9301a00,Loja,Inactivo
254,420fc29420c64e9881ee6124da4d6fe2,Carchi,Activo
255,cede0becf3314c83be79cb27eb1a2dac,Guayas,Activo
256,c75e2612248c4cb5be164278f9223361,Cotopaxi,Activo
257,7ba6b69c944d402b942c90a26dbf1521,Cañar,Activo
258,f3dc7a53c48e4f778e69e73b818b1e8b,Chimborazo,Inactivo
259,b26e50929e694296b87085a2e140196b,Manabi,Inactivo
260,00eff2a4f346427cae0db66930372026,Cañar,Inactivo
261,54cad983c4bd4bd49827bc76ff2cc81b,Cotopaxi,Inactivo
262,98f7509a9cbd4ca5bebf1a9b2dacc660,Esmeraldas,Activo
263,587d268b6d964378a0fad9849629bc9d,Azuay,Activo
264,072f1bd4a9334f6f808d378235ee7206,Cotopaxi,Inactivo
265,6c3012f618e94c9b81a095760851de79,Manabi,Activo
266,9c81935f27344f6687a98538bc7db3b3,Cañar,Inactivo
267,3aa818ae54a446329059e0ba1aece510,Esmeraldas,Activo
268,3c421fe9d9e7495e8019f119435aced9,Chimborazo,Inactivo
269,cd7c5c6920b54658a526f49cc9c7a7fd,Cotopaxi,Activo
270,606835ed391444e8a3a0d10d707b5b0c,Azuay,Inactivo
271,5dcc3bc4ef4446b188ef73ac55a30913,Cotopaxi,Activo
272,dd32346330f1495b9f5496c5acaa9497,Pichincha,Activo
273,f72f247cc11d4840a95a49c2dddf58a6,Cañar,Inactivo
274,8b953e6c34b243e8b2dcdd57ba66c319,Loja,Activo
275,3904ec543ff545d99285fe9ea5d8bd84,Azuay,Inactivo
276,2bb8f42037334d2e84127f1f4245586b,Pichincha,Activo
277,4e9dfd0bd802419aa976105eaaa83682,Bolivar,Inactivo
278,d435862bda88496caf3c9455542bb639,Cañar,Inactivo
279,23841c53546d466dac72f6303acfdc2b,Esmeraldas,Activo
280,f575f68b50764b57996167ef8a0f5c1a,Pichincha,Inactivo
281,10f2a3e240da42ac88aff77c485da087,Loja,Inactivo
282,a47ac303667243f4817b8f9e7113ccb4,Carchi,Inactivo
283,3d737d54636149d9a696ccdd7aca1e27,Carchi,Inactivo
284,7e4cf68b6d02451983b7e146b5abfc80,Bolivar,Inactivo
285,9cfef756d5e64ea79d4f19d6904d8564,Galapagos,Activo
286,db7b669e09b147b882587c95db01787e,Galapagos,Activo
287,b9abd53821d744db8140171c6cb92f02,Guayas,Inactivo
288,602a383c5ebf4b13918285a61c4a1f01,Pichincha,Activo
289,a5bb522d6c314608a22d53751bea1b0a,Cotopaxi,Activo
290,46c62f65f0be45038803015cf20bda23,Cañar,Inactivo
291,0197ab3a271c419785404f4f1697eb32,Chimborazo,Activo
292,1a62890412f94450a3979b954463529d,Azuay,Inactivo
293,a562933538df4ce8a771611ae9e6b7b3,Loja,Activo
294,197a372617d04e8b842fe179b50d994f,Galapagos,Activo
295,a182695d8a3b495c93337b20eb4c9cab,Guayas,Activo
296,2dfbfa9bc1a24209afe0de76e2a593d0,Manabi,Inactivo
297,422a3a664c0b43019632ba793c913a55,Pichincha,Activo
298,fb73b629319549edbefe1095a518ad5b,Guayas,Activo
299,2888e4fd86c44312b2e97e47cc548c03,Galapagos,Inactivo
300,db4a99c49e774dfca817202e7dd264c7,Carchi,Activo
301,9b89a37acbb5435c8ae6b29873194f79,Bolivar,Activo
302,6cb47f1d85e74c4c8449605e3db7b358,Azuay,Activo
303,df797ba451db41cf80d48debcbcdb3a2,Cañar,Activo
304,9cfd535c14384030a22c87c51409fc24,Azuay,Inactivo
305,8b201919b5bb484aaaeba1d0e0df908f,Chimborazo,Inactivo
306,50f7a5f1a91845a7a909ea319f9db9ad,Manabi,Activo
307,4130d7e960a5436687f21a761fabe2b5,Chimborazo,Inactivo
308,a8ac378c73274b4abd582108eec4f0a5,Pichincha,Activo
309,26fdd6cad1d1499084f56dc6de4945ab,Manabi,Activo
310,ba487016c07a42a599e92ca2a29fc6a9,Guayas,Inactivo
311,4da1b1bbe45849d8a8966fa0324560a5,Loja,Inactivo
312,6d28ee321a644a77a7f02a17246b15b3,Esmeraldas,Activo
313,d300dcd444a54c0d98f868824fad9b8b,Carchi,Inactivo
314,bfbe600b6854462ba1f267a4abb3f615,Galapagos,Activo
315,1f853f82f63048c5ba902ea130807027,Azuay,Activo
316,d5aebc11dbf7416982b4a80ab9f48a7b,Pichincha,Inactivo
317,b21da6d091ca4290aa7c37f7a4cdc9f4,Loja,Activo
318,f9ccc611d7064a07b0bfedb6d740f871,Carchi,Activo
319,63f26b5ca856464a8dac818d4c5e4c8f,Cotopaxi,Inactivo
320,17ae98cff9f74a4eb73674ddb218be52,Esmeraldas,Activo
321,49e0c9ac07c74d5783010c135fdc98b5,Azuay,Inactivo
322,9b35f0bb96d84433b97262affcc6be8a,Galapagos,Activo
323,aad28149252a44f284a9d97a74804a6d,Manabi,Inactivo
324,1fb71a867cc84fcea56120e3fae6ad13,Pichincha,Activo
325,8c9df68ab40a4699a2ec6379775439ee,Bolivar,Inactivo
326,a51b86261df842f2b7657ac7142d1042,Loja,Activo
327,2e80069a44d541dd9840134142cd3e26,Esmeraldas,Activo
328,1667ce6c0df54f1eb926b211113777a2,Loja,Activo
329,a6a9dbf0634049bca7d5a6ef83e442ad,Cotopaxi,Activo
330,9f8e3cb957ab471297ab461b7bd6a45c,Azuay,Activo
331,4c832bb14407414cb0a337c8cf32187e,Guayas,Activo
332,183efb405fd047409f820886fd4c0532,Cañar,Inactivo
333,30d7a5e1bfee4bd5965fa6a2351964d9,Chimborazo,Inactivo
334,02d0a8f5774b4a839bedae489806a318,Chimborazo,Activo
335,a228708584124e02a57485b54b04e725,Cañar,Activo
336,df65846eb3f74849b07956f3b9b6c617,Pichincha,Activo
337,3557e4ef11bc4f9a812fd6c8809920e3,Pichincha,Inactivo
338,856b57a6cb6c405cbdeb945e288caacb,Manabi,Inactivo
339,2942852f60c447b3a74ec04943eadd94,Loja,Inactivo
340,e24de99f753f46a58a02ad41164cf4e4,Bolivar,Activo
341,7b7949b7cc7c485d9f700a06572813ed,Chimborazo,Inactivo
342,0dfb12be5f714025b8dae6d6af41024d,Chimborazo,Inactivo
343,b642dddcaf764ff89221b856ef496b96,Bolivar,Activo
344,e634f043380546a7a566b882bbe433a8,Loja,Activo
345,2d0ad9e7ee5e4b1e96ff1df2d2a86d1e,Cañar,Inactivo
346,e216fbc59560444d9126eeb3fe6daa09,Esmeraldas,Inactivo
347,9ddf27bf834c4b53a41801801a1c2013,Bolivar,Activo
348,8ead656d95464976abed77e9f2fd8484,Cotopaxi,Activo
349,e9d334f5ade44fb9b167c0d4f223e459,Cotopaxi,Inactivo
350,29197d93890f4554a31f22d6956d4b77,Cotopaxi,Inactivo
351,74c23131a7c2413387d5411eb0643e66,Esmeraldas,Activo
352,8de952e1cf3c4754add6a23a9b0fc95c,Chimborazo,Inactivo
353,29ce6160f6e54f5ca2add7860069d221,Loja,Inactivo
354,bc1ecda7fa4c40d3b763ce2521aa2309,Azuay,Inactivo
355,8d3cc15e09d34789806c0d2a316e8281,Bolivar,Inactivo
356,761499e8885d446aa165ee3bce883ae3,Loja,Inactivo
357,efd6a572fe474b87a769b5947d8cd58b,Carchi,Inactivo
358,4753159930bf4553add60eaaf5688cb9,Azuay,Inactivo
359,3de74e76983140ffa83f2599ec38b838,Loja,Activo
360,027a1f68552a4f56ac29cf550f4cfe74,Cotopaxi,Activo
361,0211d0006304443a9ec0edf449aed322,Carchi,Activo
362,0a3d520bf40e457db9878417f75179ff,Carchi,Activo
363,3d1e2a93244746e5b9494c6922ea1f7c,Bolivar,Inactivo
364,c8e331d29607494f85407c19aa72b303,Guayas,Activo
365,fec857ffd0c04da1a0a845bfbb7ba70e,Loja,Inactivo
366,02d3215814414f0f92d2d4c695fdbcce,Bolivar,Inactivo
367,ffaa674aa7fc475da0d185de4987a1ec,Esmeraldas,Inactivo
368,56889b8e3c2d435d8d3a87bb1e8a75b3,Esmeraldas,Inactivo
369,5f04dc3e86a94df8be217ba624a4ea6a,Cañar,Inactivo
370,ee59f83785e4417c99c1a9ce5b545b09,Chimborazo,Activo
371,cde972598bca444bb46c63780c006867,Esmeraldas,Inactivo
372,f07aee45ba6540f7874202c0170b7717,Chimborazo,Inactivo
373,5382057835ee47b39227654695c6b9a4,Carchi,Inactivo
374,f8ad9c0994b949628e7a0511ba8e09c6,Manabi,Inactivo
375,ace76f6f725642c5aa98640f91fb0422,Bolivar,Inactivo
376,9e0c828b4a7641e2977b8d5280aedd07,Esmeraldas,Activo
377,4704e34361c642a4ba458d7252b9e7fb,Loja,Inactivo
378,21eea1b3969d43bd829c9d47da47e6ad,Pichincha,Inactivo
379,d5276040798044acb136e7e3cb28d16e,Chimborazo,Inactivo
380,87ddd3f64e2c4b01a32a00535a9aaa83,Manabi,Inactivo
381,89c9dccd426f43608d71ad97fcfa7736,Guayas,Activo
382,e90c3b64c8c64f02bddbffcd13372230,Loja,Activo
383,e5b3c41c8a7b486dab18b2713776dedd,Chimborazo,Inactivo
384,41807dcb72cc40869355d810a8578de5,Azuay,Activo
385,eee69131a93a46dda2685298d0853c68,Bolivar,Activo
386,d5449b4878d147a288f722d948a40a0a,Chimborazo,Inactivo
387,477cfe57b21c46c4bde9be8881bbcbce,Bolivar,Inactivo
388,437c5f5978cd4ef98c78dbaac825276a,Loja,Inactivo
389,f5671752a0f74cdc8831820eae9ae968,Cañar,Activo
390,24965153fc34433e91bdc1fe7b423ecf,Cotopaxi,Activo
391,e416850edc5148ea9be33714f7a80aee,Chimborazo,Inactivo
392,f1912352a860479c8d0f812eef6e12cc,Manabi,Activo
393,17419c11e9434a63b4977911a712c971,Azuay,Activo
394,fe9b86171d7541b097a02ea17a0647c5,Chimborazo,Inactivo
395,4478dcb7864244609b70eb081e14bf20,Chimborazo,Inactivo
396,79847a157bb8489f88afa53af0326cbe,Cañar,Inactivo
397,00f96ee12f974c35a4472c74ce6c0358,Esmeraldas,Activo
398,5fe317db7b8348699d3563c6d1a5dee6,Manabi,Activo
399,3ec1b9fa42694c7db770a2c1d98efddb,Cañar,Activo
400,1e480ecf2ba248beb4f2020226ffb20c,Guayas,Activo
